1,2046,2046,0
1,3070,2046,0
1,4094,2046,0
1,5118,2046,0
1,6142,2046,0
1,7166,2046,0
1,2046,3070,0
1,2590,2590,8
1,2530,2078,15
1,2670,2666,8
1,2696,2696,0
1,3070,3070,0
1,3714,2078,22
1,3710,2686,8
1,3742,2718,0
1,3718,2938,0
1,3704,2952,0
1,3472,2856,0
1,4094,3070,0
1,4094,2302,0
1,4054,2514,0
1,4766,2686,8
1,4798,2718,0
1,4190,2846,32
1,4190,2846,0
1,5118,3070,0
1,4638,2846,0
1,4638,2846,0
1,4318,2302,0
1,4222,2334,24
1,4398,2498,0
1,4648,2088,16
1,5838,2122,48
1,5310,2302,0
1,5566,2110,40
1,5310,2110,40
1,5150,2142,0
1,5150,2526,0
1,5150,3038,0
1,6142,3070,0
1,5402,3062,24
1,5438,3066,0
1,5182,2218,38
1,5182,2366,40
1,5182,2494,40
1,7166,3070,0
1,56318,3070,0
1,57342,3070,0
1,58366,3070,0
1,59390,3070,0
1,60414,3070,0
1,61438,3070,0
1,2046,4094,0
1,2302,3454,0
1,2238,3358,24
1,2238,3422,24
1,2174,3422,24
1,2206,3294,24
1,2174,3230,24
1,2206,4030,0
1,2302,4094,0
1,2238,3678,24
1,2238,3774,24
1,2238,3870,24
1,2174,3806,24
1,2174,3710,24
1,2174,3646,24
1,2270,3870,0
1,3070,4094,0
1,2110,3102,0
1,2622,3102,40
1,2718,3774,0
1,2498,3710,24
1,2498,3646,24
1,2542,3650,25
1,2544,3712,24
1,2654,3774,24
1,2686,3358,0
1,2462,3294,24
1,2526,3326,24
1,2622,3358,24
1,2718,3358,24
1,2622,3102,24
1,3006,3294,0
1,2302,4062,0
1,2302,4094,0
1,2302,4094,0
1,2302,4062,0
1,2366,4094,0
1,2302,4094,0
1,2302,4094,0
1,2270,4094,0
1,2302,4094,0
1,2302,4062,0
1,3166,3614,40
1,4094,4094,0
1,3134,3102,40
1,3166,3102,0
1,3756,3420,0
1,3772,3540,0
1,3778,3470,24
1,3904,3472,0
1,3166,3614,24
1,3134,3102,24
1,4666,3902,1
1,4546,3902,1
1,5118,4094,0
1,5138,3350,0
1,5128,3304,24
1,6142,4094,0
1,5470,3966,0
1,5470,4062,0
1,7166,4094,0
1,48126,4094,0
1,49150,4094,0
1,50174,4094,0
1,51198,4094,0
1,52222,4094,0
1,53246,4094,0
1,54270,4094,0
1,55294,4094,0
1,56318,4094,0
1,57342,4094,0
1,58366,4094,0
1,59390,4094,0
1,60414,4094,0
1,61438,4094,0
1,62462,4094,0
1,2046,5118,0
1,2238,4958,0
1,2270,4958,0
1,2238,4958,0
1,2270,4958,0
1,2270,4958,0
1,2206,5086,0
1,2206,5086,0
1,2238,5086,0
1,2238,5118,0
1,2206,5118,0
1,2238,4574,0
1,2238,4606,0
1,2238,4606,0
1,2238,4574,0
1,2270,4318,0
1,2206,4350,0
